AnimalID,AnimalType,Intake Date,IntakeYear,IntakeMonth,Name,Breed,Estimated Age,Sex,SpayNeuter,Size,Color,IntakeType,Outcome Type,Outcome Subtype,Zip Where Found,Latitude,Longitude,Zip Where Placed,OutcomeDate,OutcomeYear,OutcomeMonth
A448575,DOG,2011-12-01T00:00:00Z,2011,December,REX,UNKNOWN,Older than 1 year,MALE,FALSE,PUPPY,BLACK,Stray,Transferred to Rescue Group,Rescue Waggin,40211,38.2414,-85.8118,UNKNOWN,2011-12-22T00:00:00Z,2011,December
A448577,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,LARGE,BR BRINDLE,Stray,Euthanized,Behavior,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2011-12-06T00:00:00Z,2011,December
A448578,DOG,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,PUPPY,BROWN,Stray,Euthanized,Behavior,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2011-12-09T00:00:00Z,2011,December
A448583,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,KITTN,BLACK,Stray,Euthanized,Medical,40213,38.1861,-85.713,UNKNOWN,2011-12-02T00:00:00Z,2011,December
A448592,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,TRUE,MED,BRN TABBY,Stray,Transferred to Rescue Group,UNKNOWN,40212,38.2663,-85.8,40205,2011-12-06T00:00:00Z,2011,December
A448594,DOG,2011-12-01T00:00:00Z,2011,December,CASH,UNKNOWN,Older than 1 year,MALE,TRUE,LARGE,BLACK,Stray,Transferred to Rescue Group,Rescue Group,40218,38.1938,-85.6573,14779,2011-12-16T00:00:00Z,2011,December
A448595,DOG,2011-12-01T00:00:00Z,2011,December,BUTTER CUP,UNKNOWN,Youth - Younger than 1 year,FEMALE,FALSE,MED,YELLOW,Owner Surrender,Transferred to Rescue Group,Rescue Group,40223,38.2589,-85.5557,47302,2011-12-03T00:00:00Z,2011,December
A448596,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,LARGE,BRN TABBY,Stray,Euthanized,Medical,40272,38.0961,-85.8599,UNKNOWN,2011-12-07T00:00:00Z,2011,December
A448597,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,SMALL,CRM TABBY,Stray,Euthanized,Time and Space,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2011-12-13T00:00:00Z,2011,December
A448601,DOG,2011-12-01T00:00:00Z,2011,December,BARNABY,UNKNOWN,Older than 7 years,MALE,TRUE,SMALL,BLACK,Stray,Adopted,Foster,40214,38.1609,-85.7762,40272,2012-02-19T00:00:00Z,2012,February
A448604,DOG,2011-12-01T00:00:00Z,2011,December,PRANCER,REDBONE HOUND - MIX,UNKNOWN,MALE,TRUE,LARGE,RED,Owner Surrender,Transferred to Rescue Group,Ky Humane Society,40215,38.1919,-85.7841,UNKNOWN,2011-12-02T00:00:00Z,2011,December
A448606,CAT,2011-12-01T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,FEMALE,FALSE,KITTN,CALICO,Stray,Transferred to Rescue Group,Rescue Group,40212,38.2663,-85.8,40031,2011-12-21T00:00:00Z,2011,December
